node1,node2,node1_string_id,node2_string_id,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
CHMP4B,HGS,9606.ENSP00000217402,9606.ENSP00000331201,0,0.135,0.9,0,0.909
CHMP4B,TSG101,9606.ENSP00000217402,9606.ENSP00000251968,0,0.128,0.9,0,0.909
CHMP4B,CHMP2B,9606.ENSP00000217402,9606.ENSP00000263780,0,0.747,0.9,0,0.973
CHMP4B,CHMP3,9606.ENSP00000217402,9606.ENSP00000405575,0,0.936,0.9,0,0.993
CHMP4B,CHMP2A,9606.ENSP00000217402,9606.ENSP00000469240,0,0.926,0.9,0,0.992
CLVS2,AP1B1,9606.ENSP00000275162,9606.ENSP00000350199,0,0,0.6,0,0.6
DERL1,HLA-A,9606.ENSP00000259512,9606.ENSP00000379873,0,0.483,0,0,0.483
DERL1,VCP,9606.ENSP00000259512,9606.ENSP00000351777,0,0.944,0.9,0,0.994
GGA1,RAB5A,9606.ENSP00000341344,9606.ENSP00000273047,0,0.154,0.6,0,0.647
HGS,CHMP4B,9606.ENSP00000331201,9606.ENSP00000217402,0,0.135,0.9,0,0.909
HGS,TSG101,9606.ENSP00000331201,9606.ENSP00000251968,0,0.935,0.9,0,0.993
HGS,CHMP2B,9606.ENSP00000331201,9606.ENSP00000263780,0,0,0.9,0,0.9
HGS,CHMP2A,9606.ENSP00000331201,9606.ENSP00000469240,0,0,0.9,0,0.9
HGS,CHMP3,9606.ENSP00000331201,9606.ENSP00000405575,0,0,0.9,0,0.9
HGS,STAM,9606.ENSP00000331201,9606.ENSP00000366746,0,0.987,0.9,0,0.998
HIP1R,TSG101,9606.ENSP00000253083,9606.ENSP00000251968,0,0.653,0,0,0.653
HIP1R,AP1B1,9606.ENSP00000253083,9606.ENSP00000350199,0,0.131,0.6,0,0.637
HLA-A,DERL1,9606.ENSP00000379873,9606.ENSP00000259512,0,0.483,0,0,0.483
HLA-A,CALR,9606.ENSP00000379873,9606.ENSP00000320866,0,0.8,0.9,0,0.979
HLA-A,HLA-C,9606.ENSP00000379873,9606.ENSP00000365402,0,0.382,0.9,0,0.935
HLA-A,HLA-E,9606.ENSP00000379873,9606.ENSP00000365817,0,0.228,0.9,0,0.919
HLA-A,KLRD1,9606.ENSP00000379873,9606.ENSP00000371333,0,0.056,0.9,0,0.901
HLA-A,HLA-G,9606.ENSP00000379873,9606.ENSP00000412927,0,0.498,0.6,0,0.79
HLA-A,HLA-B,9606.ENSP00000379873,9606.ENSP00000399168,0,0.305,0.9,0,0.927
HLA-A,KLRC1,9606.ENSP00000379873,9606.ENSP00000438038,0,0,0.9,0,0.9
HLA-A,CD8A,9606.ENSP00000379873,9606.ENSP00000386559,0,0.715,0.9,0,0.97
HLA-A,B2M,9606.ENSP00000379873,9606.ENSP00000452780,0,0.955,0.9,0,0.995
HLA-B,CALR,9606.ENSP00000399168,9606.ENSP00000320866,0,0.27,0.6,0,0.695
HLA-B,HLA-C,9606.ENSP00000399168,9606.ENSP00000365402,0,0.571,0.9,0,0.955
HLA-B,HLA-E,9606.ENSP00000399168,9606.ENSP00000365817,0,0.457,0.9,0,0.943
HLA-B,HLA-A,9606.ENSP00000399168,9606.ENSP00000379873,0,0.305,0.9,0,0.927
HLA-B,CD8A,9606.ENSP00000399168,9606.ENSP00000386559,0,0.518,0.6,0,0.799
HLA-B,HLA-G,9606.ENSP00000399168,9606.ENSP00000412927,0,0.647,0.6,0,0.852
HLA-B,B2M,9606.ENSP00000399168,9606.ENSP00000452780,0,0.955,0.8,0,0.99
HLA-C,CALR,9606.ENSP00000365402,9606.ENSP00000320866,0,0,0.6,0,0.6
HLA-C,KPNA2,9606.ENSP00000365402,9606.ENSP00000438483,0,0.417,0,0,0.416
HLA-C,CD8A,9606.ENSP00000365402,9606.ENSP00000386559,0,0.518,0.6,0,0.799
HLA-C,HLA-G,9606.ENSP00000365402,9606.ENSP00000412927,0,0.675,0.6,0,0.864
