reaction,node1,node2,interaction
AP1G2 binds HGS and CHMP2A,AP1G2,AP1G2:HGS:CHMP2A,+
AP1G2 binds HGS and CHMP2A,HGS,AP1G2:HGS:CHMP2A,+
"CLAT:AP1:CLVS bind PI(3,5)P2",CLAT:AP1:CLVS,"CLAT:AP1:CLVS:PI(3,5)P2",+
"CLAT:AP1:CLVS bind PI(3,5)P3","PI(3,5)P2","CLAT:AP1:CLVS:PI(3,5)P2",+
Formation Of Bloc-1 Complex,TXNDC5,BLOC-1 Complex,+
Formation Of Bloc-1 Complex,BLOC1S3,BLOC-1 Complex,+
Formation Of Bloc-1 Complex,BLOC1S1,BLOC-1 Complex,+
Formation Of Bloc-1 Complex,DTNBP1,BLOC-1 Complex,+
Formation Of Bloc-1 Complex,NAPA,BLOC-1 Complex,+
Formation Of Bloc-1 Complex,BLOC1S6,BLOC-1 Complex,+
Formation Of Bloc-1 Complex,BLOC1S4,BLOC-1 Complex,+
Lysosomal Lumen,BLOC-1 Complex,OUTPUT,+
Lysosomal Lumen,"CLAT:AP1:CLVS:PI(3,5)P2",OUTPUT,+
Lysosomal Lumen,AP4:APP,OUTPUT,+
Lysosomal Lumen,Vamp,OUTPUT,+
Lysosomal Lumen,Lysosome Cargo,OUTPUT,+
Lysosomal Lumen,AP1G2:HGS:CHMP2A,OUTPUT,+
Complex,VAMP2,Vamp,+
Complex,VAMP7,Vamp,+
Complex,VAMP8,Vamp,+
Complex,ARF1,Arf1-GTP,+
Complex,AP1G1,AP-1 Complex,+
Complex,AP1M2,AP-1 Complex,+
Complex,AP1M2,AP-1 Complex,+
Complex,AP1S1,AP-1 Complex,+
Complex,AP1S2,AP-1 Complex,+
Complex,AP1S3,AP-1 Complex,+
Complex,AP1B1,AP-1 Complex,+
Complex,CLTC-1,Clathrin Triskelion,+
Complex,Clathrin light chain,Clathrin Triskelion,+
Complex,HSPA8,HSC70:Auxillin Complex,+
Complex,DNAJC6,HSC70:Auxillin Complex,+
Complex,ARF1,Arf1-GDP,+
